timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:39:16.094, 73, N/A, 82.96 W, 86 %, 31 %, 1003 MiB, 0x0000000000000004
2026/05/02 14:39:16.604, 74, N/A, 82.82 W, 84 %, 30 %, 1002 MiB, 0x0000000000000004
2026/05/02 14:39:17.114, 75, N/A, 84.01 W, 77 %, 28 %, 1004 MiB, 0x0000000000000004
2026/05/02 14:39:17.624, 74, N/A, 84.93 W, 87 %, 30 %, 1003 MiB, 0x0000000000000004
2026/05/02 14:39:18.125, 75, N/A, 90.39 W, 80 %, 27 %, 1004 MiB, 0x0000000000000004
2026/05/02 14:39:18.638, 75, N/A, 83.25 W, 80 %, 27 %, 1005 MiB, 0x0000000000000004
2026/05/02 14:39:19.151, 72, N/A, 81.50 W, 78 %, 26 %, 1007 MiB, 0x0000000000000004
2026/05/02 14:39:19.658, 75, N/A, 82.79 W, 75 %, 25 %, 1007 MiB, 0x0000000000000004
2026/05/02 14:39:20.161, 75, N/A, 80.65 W, 77 %, 25 %, 1008 MiB, 0x0000000000000004
2026/05/02 14:39:20.676, 76, N/A, 80.81 W, 72 %, 22 %, 1009 MiB, 0x0000000000000004
2026/05/02 14:39:21.186, 75, N/A, 80.47 W, 71 %, 23 %, 1010 MiB, 0x0000000000000000
2026/05/02 14:39:21.698, 76, N/A, 79.75 W, 74 %, 23 %, 1055 MiB, 0x0000000000000000
2026/05/02 14:39:22.206, 74, N/A, 73.18 W, 63 %, 21 %, 1049 MiB, 0x0000000000000004
2026/05/02 14:39:22.721, 75, N/A, 81.70 W, 87 %, 30 %, 1022 MiB, 0x0000000000000004
2026/05/02 14:39:23.222, 75, N/A, 79.79 W, 87 %, 30 %, 1023 MiB, 0x0000000000000004
2026/05/02 14:39:23.724, 76, N/A, 82.95 W, 88 %, 33 %, 1023 MiB, 0x0000000000000004
2026/05/02 14:39:24.224, 76, N/A, 83.51 W, 86 %, 31 %, 1023 MiB, 0x0000000000000004
2026/05/02 14:39:24.734, 77, N/A, 87.33 W, 86 %, 31 %, 1025 MiB, 0x0000000000000004
2026/05/02 14:39:25.244, 77, N/A, 87.67 W, 88 %, 32 %, 1024 MiB, 0x0000000000000004
2026/05/02 14:39:25.754, 77, N/A, 84.17 W, 90 %, 31 %, 1024 MiB, 0x0000000000000004
2026/05/02 14:39:26.264, 78, N/A, 84.35 W, 83 %, 29 %, 1023 MiB, 0x0000000000000004
2026/05/02 14:39:26.777, 78, N/A, 84.94 W, 83 %, 29 %, 1023 MiB, 0x0000000000000004
2026/05/02 14:39:27.292, 78, N/A, 84.10 W, 82 %, 29 %, 1023 MiB, 0x0000000000000004
2026/05/02 14:39:27.794, 77, N/A, 86.39 W, 85 %, 31 %, 1024 MiB, 0x0000000000000004
