timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:37:42.346, 79, 79.71 W, 84 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:42.856, 78, 79.78 W, 85 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:37:43.363, 79, 79.07 W, 79 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:43.877, 79, 80.48 W, 82 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:44.391, 79, 81.22 W, 80 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:44.905, 79, 79.95 W, 80 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:45.406, 79, 80.32 W, 82 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:45.907, 79, 79.45 W, 87 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:46.408, 79, 81.20 W, 89 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:46.920, 79, 80.09 W, 86 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:47.436, 80, 80.11 W, 88 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:47.937, 79, 79.00 W, 91 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:48.447, 80, 79.95 W, 92 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:37:48.952, 80, 82.46 W, 92 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:49.457, 81, 84.45 W, 92 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:49.967, 81, 87.13 W, 92 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:50.467, 81, 83.15 W, 92 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:50.975, 82, 85.18 W, 91 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:37:51.479, 82, 89.07 W, 94 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:51.993, 82, 90.19 W, 90 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:37:52.507, 83, 93.82 W, 94 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:37:53.009, 82, 87.74 W, 93 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:53.524, 83, 88.92 W, 92 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:54.037, 83, 87.80 W, 93 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:37:54.548, 83, 89.69 W, 94 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:37:55.063, 81, 76.72 W, 71 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:55.578, 81, 79.50 W, 73 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:56.087, 81, 81.41 W, 75 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:56.587, 81, 81.25 W, 76 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:57.097, 82, 81.33 W, 73 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:37:57.608, 81, 78.39 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:37:58.118, 80, 75.54 W, 67 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:58.628, 81, 80.52 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:59.143, 81, 77.97 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:37:59.658, 81, 76.41 W, 65 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:00.171, 81, 76.59 W, 62 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:00.676, 81, 77.14 W, 65 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:01.176, 81, 79.85 W, 67 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:01.678, 81, 80.58 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:02.180, 82, 80.31 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:02.682, 82, 83.02 W, 70 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:03.197, 81, 80.01 W, 65 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:03.698, 82, 82.91 W, 70 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:04.208, 82, 80.00 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:38:04.718, 82, 81.89 W, 72 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:38:05.228, 82, 82.29 W, 70 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:05.728, 82, 81.54 W, 71 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:38:06.238, 82, 82.51 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:06.743, 82, 82.45 W, 71 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:07.258, 82, 80.73 W, 70 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:07.773, 82, 81.03 W, 70 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:38:08.277, 82, 79.57 W, 67 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:08.779, 82, 81.24 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:09.280, 82, 80.56 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:09.793, 82, 80.40 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:10.308, 82, 80.14 W, 67 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:38:10.821, 82, 80.28 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
