timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 15:12:54.079, 66, N/A, 83.90 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:54.589, 66, N/A, 83.96 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:55.099, 67, N/A, 83.96 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:55.609, 67, N/A, 83.80 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:56.119, 68, N/A, 83.98 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:56.629, 68, N/A, 84.37 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:57.140, 68, N/A, 84.29 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:57.649, 68, N/A, 84.36 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:58.159, 68, N/A, 84.13 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:58.660, 68, N/A, 84.55 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:59.169, 69, N/A, 84.11 W, 98 %, 28 %, 2069 MiB, 0x0000000000000000
2026/05/02 15:12:59.670, 68, N/A, 85.26 W, 96 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:00.180, 69, N/A, 85.32 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:00.690, 69, N/A, 86.85 W, 97 %, 35 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:01.200, 70, N/A, 87.14 W, 97 %, 35 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:01.710, 69, N/A, 86.81 W, 97 %, 35 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:02.220, 69, N/A, 86.45 W, 97 %, 35 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:02.730, 69, N/A, 86.75 W, 97 %, 35 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:03.240, 70, N/A, 86.92 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:03.750, 70, N/A, 86.40 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:04.260, 70, N/A, 86.46 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:04.770, 71, N/A, 86.39 W, 97 %, 35 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:05.280, 71, N/A, 85.97 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:05.786, 71, N/A, 86.06 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:06.290, 71, N/A, 85.93 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:06.800, 71, N/A, 85.35 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:07.300, 71, N/A, 86.00 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:07.810, 71, N/A, 86.23 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:08.320, 71, N/A, 86.15 W, 98 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:08.830, 71, N/A, 86.36 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:09.341, 72, N/A, 86.64 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:09.849, 72, N/A, 86.08 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:10.350, 72, N/A, 85.89 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:10.860, 72, N/A, 86.46 W, 98 %, 34 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:11.362, 72, N/A, 86.31 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:11.870, 72, N/A, 86.66 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:12.372, 73, N/A, 86.99 W, 98 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:12.880, 73, N/A, 86.97 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:13.382, 73, N/A, 86.94 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:13.890, 73, N/A, 86.86 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:14.393, 73, N/A, 86.52 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:14.900, 73, N/A, 83.38 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:15.401, 74, N/A, 85.78 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:15.911, 74, N/A, 85.86 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:16.413, 74, N/A, 86.64 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:16.921, 74, N/A, 86.43 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:17.431, 74, N/A, 86.31 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:17.931, 74, N/A, 85.91 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:18.441, 74, N/A, 86.79 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:18.951, 75, N/A, 86.02 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:19.457, 75, N/A, 86.84 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:19.961, 75, N/A, 86.14 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:20.461, 74, N/A, 86.05 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:20.971, 75, N/A, 86.43 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:21.471, 75, N/A, 86.51 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:21.981, 75, N/A, 86.42 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:22.481, 75, N/A, 86.11 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:22.991, 76, N/A, 86.21 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:23.491, 76, N/A, 85.92 W, 98 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:24.001, 76, N/A, 85.86 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:24.511, 76, N/A, 85.99 W, 98 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:25.011, 76, N/A, 86.93 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:25.521, 76, N/A, 86.54 W, 98 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:26.022, 76, N/A, 86.95 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:26.531, 77, N/A, 86.93 W, 98 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:27.032, 77, N/A, 87.14 W, 98 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:27.541, 77, N/A, 87.99 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:28.042, 77, N/A, 87.96 W, 98 %, 30 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:28.551, 77, N/A, 88.06 W, 98 %, 31 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:29.062, 77, N/A, 88.31 W, 97 %, 31 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:29.562, 77, N/A, 88.33 W, 97 %, 31 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:30.072, 77, N/A, 88.33 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:30.582, 77, N/A, 87.79 W, 97 %, 32 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:31.092, 78, N/A, 87.29 W, 97 %, 31 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:31.602, 78, N/A, 87.26 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:32.112, 77, N/A, 87.50 W, 97 %, 33 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:13:32.612, 77, N/A, 88.19 W, 97 %, 34 %, 2066 MiB, 0x0000000000000000
