timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:29:03.918, 76, N/A, 89.25 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:04.431, 76, N/A, 89.99 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:04.945, 77, N/A, 89.97 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:05.460, 77, N/A, 89.22 W, 92 %, 26 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:05.973, 77, N/A, 89.72 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:06.488, 77, N/A, 89.73 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:06.990, 77, N/A, 89.70 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:07.500, 77, N/A, 90.43 W, 92 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:08.000, 78, N/A, 90.64 W, 92 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:08.510, 78, N/A, 89.92 W, 93 %, 25 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:09.020, 78, N/A, 89.53 W, 90 %, 22 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:09.530, 78, N/A, 89.33 W, 90 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:10.043, 78, N/A, 90.88 W, 90 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:10.556, 78, N/A, 89.44 W, 90 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:11.069, 78, N/A, 89.38 W, 91 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:11.570, 78, N/A, 89.62 W, 89 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:12.084, 79, N/A, 90.47 W, 91 %, 24 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:12.598, 79, N/A, 89.97 W, 90 %, 24 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:13.113, 79, N/A, 90.05 W, 90 %, 24 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:13.627, 79, N/A, 89.93 W, 90 %, 24 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:14.127, 79, N/A, 90.51 W, 90 %, 24 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:14.630, 77, N/A, 89.87 W, 87 %, 22 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:15.140, 76, N/A, 79.27 W, 74 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:15.641, 76, N/A, 74.82 W, 74 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:16.151, 77, N/A, 76.61 W, 75 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:16.661, 77, N/A, 75.39 W, 74 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:17.171, 77, N/A, 76.30 W, 75 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:17.671, 77, N/A, 75.65 W, 74 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:18.186, 77, N/A, 74.70 W, 74 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:18.686, 77, N/A, 74.96 W, 75 %, 17 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:19.200, 77, N/A, 74.21 W, 74 %, 16 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:19.712, 77, N/A, 73.80 W, 74 %, 16 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:20.226, 78, N/A, 79.78 W, 93 %, 26 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:20.739, 78, N/A, 75.80 W, 92 %, 25 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:21.252, 79, N/A, 84.33 W, 92 %, 27 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:21.765, 79, N/A, 85.15 W, 92 %, 29 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:22.266, 80, N/A, 88.14 W, 92 %, 29 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:22.771, 81, N/A, 89.08 W, 91 %, 29 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:23.281, 82, N/A, 93.01 W, 92 %, 28 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:23.791, 81, N/A, 93.19 W, 91 %, 28 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:24.301, 82, N/A, 95.80 W, 92 %, 29 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:24.801, 82, N/A, 95.31 W, 90 %, 29 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:25.315, 82, N/A, 94.01 W, 92 %, 30 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:25.816, 81, N/A, 85.08 W, 67 %, 19 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:26.330, 82, N/A, 88.51 W, 92 %, 24 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:26.844, 82, N/A, 90.22 W, 92 %, 23 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:27.359, 81, N/A, 89.29 W, 92 %, 23 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:27.874, 82, N/A, 88.89 W, 92 %, 23 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:28.387, 82, N/A, 88.28 W, 91 %, 24 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:28.898, 82, N/A, 89.24 W, 92 %, 24 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:29.410, 82, N/A, 89.51 W, 91 %, 23 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:29.925, 82, N/A, 86.51 W, 92 %, 22 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:30.432, 82, N/A, 88.48 W, 91 %, 22 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:30.942, 82, N/A, 88.34 W, 91 %, 21 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:31.452, 82, N/A, 88.19 W, 92 %, 21 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:31.962, 82, N/A, 88.39 W, 92 %, 21 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:32.472, 82, N/A, 87.90 W, 91 %, 21 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:32.982, 82, N/A, 88.37 W, 91 %, 21 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:33.483, 82, N/A, 88.67 W, 92 %, 21 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:33.997, 82, N/A, 88.62 W, 92 %, 22 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:34.510, 83, N/A, 89.35 W, 91 %, 24 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:35.025, 84, N/A, 93.41 W, 90 %, 24 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:35.538, 84, N/A, 93.51 W, 91 %, 23 %, 909 MiB, 0x0000000000000004
2026/05/02 14:29:36.052, 84, N/A, 93.60 W, 90 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:36.553, 84, N/A, 93.30 W, 90 %, 23 %, 909 MiB, 0x0000000000000000
2026/05/02 14:29:37.066, 84, N/A, 93.24 W, 90 %, 22 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:37.581, 82, N/A, 89.97 W, 90 %, 20 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:38.088, 82, N/A, 86.61 W, 92 %, 20 %, 913 MiB, 0x0000000000000000
