timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
24:13.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,23%, 796 MiB, 8188 MiB,90.71,86, 2475 MHz, 8001 MHz,,,,,,
24:14.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,23%, 796 MiB, 8188 MiB,91.42,86, 2475 MHz, 8001 MHz,,,,,,
24:15.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,24%, 796 MiB, 8188 MiB,91.96,86, 2475 MHz, 8001 MHz,,,,,,
24:16.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,24%, 796 MiB, 8188 MiB,92.58,86, 2475 MHz, 8001 MHz,,,,,,
24:17.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,24%, 796 MiB, 8188 MiB,93.07,87, 2475 MHz, 8001 MHz,,,,,,
24:18.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,25%, 796 MiB, 8188 MiB,92.4,86, 2475 MHz, 8001 MHz,,,,,,
24:19.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,25%, 796 MiB, 8188 MiB,92.69,86, 2475 MHz, 8001 MHz,,,,,,
24:20.7, NVIDIA GeForce RTX 4060 Laptop GPU,92%,27%, 796 MiB, 8188 MiB,93.42,87, 2475 MHz, 8001 MHz,,,,,,
24:21.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 792 MiB, 8188 MiB,93.68,86, 2400 MHz, 8001 MHz,,,,,,
24:22.7, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 792 MiB, 8188 MiB,91.46,87, 2445 MHz, 8001 MHz,,,,,,
24:23.7, NVIDIA GeForce RTX 4060 Laptop GPU,89%,19%, 796 MiB, 8188 MiB,90.08,86, 2475 MHz, 8001 MHz,,,,,,
24:24.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,20%, 796 MiB, 8188 MiB,90.16,86, 2475 MHz, 8001 MHz,,,,,,
24:25.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,21%, 796 MiB, 8188 MiB,91.83,86, 2475 MHz, 8001 MHz,,,,,,
24:26.8, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 796 MiB, 8188 MiB,91.81,86, 2475 MHz, 8001 MHz,,,,,,
24:27.8, NVIDIA GeForce RTX 4060 Laptop GPU,90%,21%, 796 MiB, 8188 MiB,91.93,86, 2475 MHz, 8001 MHz,,,,,,
24:28.8, NVIDIA GeForce RTX 4060 Laptop GPU,85%,20%, 792 MiB, 8188 MiB,92.5,86, 2415 MHz, 8001 MHz,,,,,,
24:29.8, NVIDIA GeForce RTX 4060 Laptop GPU,83%,21%, 792 MiB, 8188 MiB,82.95,86, 2475 MHz, 8001 MHz,,,,,,
