timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
17:03.1, NVIDIA GeForce RTX 4060 Laptop GPU,95%,29%, 785 MiB, 8188 MiB,81.3,79, 2355 MHz, 8001 MHz,,,,,,
17:04.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,28%, 785 MiB, 8188 MiB,83.49,79, 2385 MHz, 8001 MHz,,,,,,
17:05.2, NVIDIA GeForce RTX 4060 Laptop GPU,94%,28%, 785 MiB, 8188 MiB,82.25,80, 2385 MHz, 8001 MHz,,,,,,
17:06.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,27%, 785 MiB, 8188 MiB,85.84,80, 2415 MHz, 8001 MHz,,,,,,
17:07.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 785 MiB, 8188 MiB,83.13,80, 2415 MHz, 8001 MHz,,,,,,
17:08.2, NVIDIA GeForce RTX 4060 Laptop GPU,85%,21%, 783 MiB, 8188 MiB,79.17,80, 2475 MHz, 8001 MHz,,,,,,
17:09.2, NVIDIA GeForce RTX 4060 Laptop GPU,83%,21%, 783 MiB, 8188 MiB,81.57,80, 2475 MHz, 8001 MHz,,,,,,
17:10.2, NVIDIA GeForce RTX 4060 Laptop GPU,84%,22%, 783 MiB, 8188 MiB,78.4,80, 2415 MHz, 8001 MHz,,,,,,
17:11.2, NVIDIA GeForce RTX 4060 Laptop GPU,82%,21%, 783 MiB, 8188 MiB,80.54,80, 2475 MHz, 8001 MHz,,,,,,
17:12.2, NVIDIA GeForce RTX 4060 Laptop GPU,84%,22%, 783 MiB, 8188 MiB,82.4,81, 2445 MHz, 8001 MHz,,,,,,
17:13.2, NVIDIA GeForce RTX 4060 Laptop GPU,86%,22%, 783 MiB, 8188 MiB,82.32,81, 2445 MHz, 8001 MHz,,,,,,
17:14.2, NVIDIA GeForce RTX 4060 Laptop GPU,87%,23%, 783 MiB, 8188 MiB,82.03,81, 2415 MHz, 8001 MHz,,,,,,
17:15.2, NVIDIA GeForce RTX 4060 Laptop GPU,87%,23%, 783 MiB, 8188 MiB,82.06,81, 2415 MHz, 8001 MHz,,,,,,
17:16.2, NVIDIA GeForce RTX 4060 Laptop GPU,88%,24%, 783 MiB, 8188 MiB,81.78,81, 2385 MHz, 8001 MHz,,,,,,
17:17.2, NVIDIA GeForce RTX 4060 Laptop GPU,89%,24%, 783 MiB, 8188 MiB,81.62,81, 2385 MHz, 8001 MHz,,,,,,
17:18.2, NVIDIA GeForce RTX 4060 Laptop GPU,89%,24%, 783 MiB, 8188 MiB,81.62,81, 2370 MHz, 8001 MHz,,,,,,
17:19.2, NVIDIA GeForce RTX 4060 Laptop GPU,61%,16%, 789 MiB, 8188 MiB,79.45,82, 2475 MHz, 8001 MHz,,,,,,
17:20.2, NVIDIA GeForce RTX 4060 Laptop GPU,99%,36%, 783 MiB, 8188 MiB,82.77,82, 2160 MHz, 8001 MHz,,,,,,
17:21.3, NVIDIA GeForce RTX 4060 Laptop GPU,99%,36%, 783 MiB, 8188 MiB,90.76,82, 2295 MHz, 8001 MHz,,,,,,
17:22.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,36%, 787 MiB, 8188 MiB,92.66,84, 2370 MHz, 8001 MHz,,,,,,
17:23.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,36%, 787 MiB, 8188 MiB,96.25,84, 2400 MHz, 8001 MHz,,,,,,
17:24.3, NVIDIA GeForce RTX 4060 Laptop GPU,95%,35%, 787 MiB, 8188 MiB,93.77,84, 2385 MHz, 8001 MHz,,,,,,
17:25.3, NVIDIA GeForce RTX 4060 Laptop GPU,95%,35%, 787 MiB, 8188 MiB,93.5,84, 2385 MHz, 8001 MHz,,,,,,
17:26.3, NVIDIA GeForce RTX 4060 Laptop GPU,97%,33%, 787 MiB, 8188 MiB,91.94,84, 2400 MHz, 8001 MHz,,,,,,
17:27.3, NVIDIA GeForce RTX 4060 Laptop GPU,98%,35%, 788 MiB, 8188 MiB,97.62,84, 2385 MHz, 8001 MHz,,,,,,
17:28.3, NVIDIA GeForce RTX 4060 Laptop GPU,89%,33%, 788 MiB, 8188 MiB,92.93,84, 2415 MHz, 8001 MHz,,,,,,
17:29.3, NVIDIA GeForce RTX 4060 Laptop GPU,77%,26%, 784 MiB, 8188 MiB,80.2,83, 2460 MHz, 8001 MHz,,,,,,
17:30.3, NVIDIA GeForce RTX 4060 Laptop GPU,85%,25%, 789 MiB, 8188 MiB,81.29,82, 2385 MHz, 8001 MHz,,,,,,
17:31.3, NVIDIA GeForce RTX 4060 Laptop GPU,90%,26%, 789 MiB, 8188 MiB,81.4,82, 2340 MHz, 8001 MHz,,,,,,
