timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 21:48:35.952, 78, 87.71 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:36.452, 78, 87.52 W, 96 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:36.963, 78, 87.62 W, 96 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:37.472, 79, 88.53 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:37.976, 78, 88.83 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:38.483, 79, 88.02 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:38.993, 79, 89.05 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:39.493, 79, 88.82 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:40.001, 79, 88.36 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:40.503, 79, 88.11 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:41.012, 79, 86.93 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:41.513, 79, 86.39 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:42.023, 79, 85.91 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:42.523, 79, 85.91 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:43.033, 79, 86.42 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:43.533, 79, 86.42 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:44.043, 80, 86.61 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
