timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu,y, clocks.current.memory [MHz],,
18:40.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.8,74,2490, 8001 MHz,,
18:41.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,75.61,74,2490, 8001 MHz,,
18:42.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.75,74,2490, 8001 MHz,,
18:43.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,75.12,74,2490, 8001 MHz,,
18:44.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,74.13,74,2490, 8001 MHz,,
18:45.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,73,74,2490, 8001 MHz,,
18:46.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.77,74,2490, 8001 MHz,,
18:47.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.36,74,2490, 8001 MHz,,
18:48.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,73.16,74,2490, 8001 MHz,,
18:49.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,73.25,74,2490, 8001 MHz,,
18:50.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,73.25,74,2490, 8001 MHz,,
18:51.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 310 MiB, 8188 MiB,73.08,74,2490, 8001 MHz,,
18:52.8, NVIDIA GeForce RTX 4060 Laptop GPU,1%,0%, 311 MiB, 8188 MiB,31.42,63,2490, 8001 MHz,,
18:53.8, NVIDIA GeForce RTX 4060 Laptop GPU,11%,0%, 1684 MiB, 8188 MiB,22.54,62,2250, 8001 MHz,,
18:54.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1684 MiB, 8188 MiB,47.06,68,2490, 8001 MHz,,
18:55.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1714 MiB, 8188 MiB,28.37,63,2490, 8001 MHz,,
18:56.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.84,63,2490, 8001 MHz,,
18:57.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,57.7,66,2490, 8001 MHz,,
18:58.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.32,63,2490, 8001 MHz,,
18:59.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.57,63,2490, 8001 MHz,,
19:00.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.53,63,2490, 8001 MHz,,
19:01.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.51,63,2490, 8001 MHz,,
19:02.8, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.55,63,2490, 8001 MHz,,
19:03.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.44,62,2490, 8001 MHz,,
19:04.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.02,62,2490, 8001 MHz,,
19:05.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.27,62,2490, 8001 MHz,,
19:06.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30,62,2490, 8001 MHz,,
19:07.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.66,62,2490, 8001 MHz,,
19:08.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.95,62,2490, 8001 MHz,,
19:09.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.98,62,2490, 8001 MHz,,
19:10.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.93,62,2490, 8001 MHz,,
19:11.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.99,61,2490, 8001 MHz,,
19:12.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.22,64,2490, 8001 MHz,,
19:13.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.94,61,2490, 8001 MHz,,
19:14.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.17,61,2490, 8001 MHz,,
19:15.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.98,61,2490, 8001 MHz,,
19:16.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.98,61,2490, 8001 MHz,,
19:17.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.3,61,2490, 8001 MHz,,
19:18.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.91,61,2490, 8001 MHz,,
19:19.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.88,61,2490, 8001 MHz,,
19:20.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.17,64,2490, 8001 MHz,,
19:21.9, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.93,60,2490, 8001 MHz,,
19:23.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.91,60,2490, 8001 MHz,,
19:24.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.9,61,2490, 8001 MHz,,
19:25.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.89,61,2490, 8001 MHz,,
19:26.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.71,60,2490, 8001 MHz,,
19:27.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.92,60,2490, 8001 MHz,,
19:28.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.9,60,2490, 8001 MHz,,
19:29.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.48,60,2490, 8001 MHz,,
19:30.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.48,60,2490, 8001 MHz,,
19:31.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,28.42,60,2490, 8001 MHz,,
19:32.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.94,60,2490, 8001 MHz,,
19:33.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.94,60,2490, 8001 MHz,,
19:34.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.95,60,2490, 8001 MHz,,
19:35.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.98,60,2490, 8001 MHz,,
19:36.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.95,60,2490, 8001 MHz,,
19:37.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.94,60,2490, 8001 MHz,,
19:38.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.71,60,2490, 8001 MHz,,
19:39.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.7,61,2490, 8001 MHz,,
19:40.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.15,60,2490, 8001 MHz,,
19:41.0, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.93,60,2490, 8001 MHz,,
19:42.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.91,60,2490, 8001 MHz,,
19:43.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.9,59,2490, 8001 MHz,,
19:44.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.91,59,2490, 8001 MHz,,
19:45.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.67,59,2490, 8001 MHz,,
19:46.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.67,60,2490, 8001 MHz,,
19:47.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30,60,2490, 8001 MHz,,
19:48.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.89,59,2490, 8001 MHz,,
19:49.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.9,59,2490, 8001 MHz,,
19:50.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.88,59,2490, 8001 MHz,,
19:51.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,29.86,59,2490, 8001 MHz,,
19:52.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.26,59,2490, 8001 MHz,,
19:53.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.6,60,2490, 8001 MHz,,
19:54.1, NVIDIA GeForce RTX 4060 Laptop GPU,100%,0%, 1697 MiB, 8188 MiB,30.35,59,2490, 8001 MHz,,
