timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:46:13.871, 73, 73.70 W, 72 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:46:14.386, 73, 81.29 W, 81 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:46:14.899, 74, 79.43 W, 79 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:46:15.402, 74, 80.85 W, 80 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:15.912, 74, 80.38 W, 78 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:16.422, 74, 78.50 W, 80 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:46:16.932, 71, 79.46 W, 83 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:17.432, 74, 71.70 W, 79 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:17.942, 75, 81.81 W, 95 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:46:18.446, 75, 78.12 W, 95 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:46:18.947, 76, 88.58 W, 95 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:46:19.458, 77, 86.90 W, 96 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:46:19.960, 78, 72.42 W, 96 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:46:20.461, 78, 92.60 W, 95 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:46:20.977, 78, 93.35 W, 96 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
