timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:27:07.410, 80, 69.72 W, 55 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:07.912, 81, 72.29 W, 59 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:08.425, 80, 72.19 W, 59 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:08.940, 81, 72.42 W, 58 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:09.455, 81, 70.05 W, 56 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:09.960, 80, 67.02 W, 55 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:10.463, 78, 62.57 W, 48 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:10.979, 78, 65.51 W, 52 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:11.479, 79, 61.97 W, 46 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:11.995, 79, 63.70 W, 53 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:12.499, 78, 62.63 W, 46 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:12.999, 79, 64.53 W, 48 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:13.509, 80, 66.50 W, 52 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:14.019, 80, 68.37 W, 50 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:14.529, 80, 67.86 W, 56 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:15.041, 79, 65.26 W, 50 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:15.553, 79, 65.25 W, 53 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:16.057, 80, 66.15 W, 49 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:16.571, 79, 63.67 W, 55 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:17.073, 79, 64.41 W, 51 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:17.585, 80, 67.88 W, 59 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:18.099, 80, 69.53 W, 61 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:18.612, 80, 66.07 W, 54 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:19.114, 80, 66.70 W, 56 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:19.627, 80, 67.38 W, 54 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:20.127, 80, 69.56 W, 60 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:20.630, 81, 76.46 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:21.139, 81, 69.77 W, 57 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:21.640, 82, 75.45 W, 65 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:22.150, 82, 79.71 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:22.650, 83, 82.11 W, 70 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:23.164, 82, 80.44 W, 68 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:23.666, 83, 79.57 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:24.168, 76, 71.35 W, 15 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:24.669, 81, 61.59 W, 63 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:25.170, 83, 79.81 W, 63 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:25.682, 83, 82.89 W, 75 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:27:26.196, 84, 78.61 W, 79 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:27:26.709, 83, 80.09 W, 75 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:27:27.223, 84, 84.40 W, 79 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:27:27.730, 84, 82.03 W, 75 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:28.230, 84, 82.10 W, 81 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:27:28.740, 84, 81.12 W, 80 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:29.240, 85, 84.84 W, 90 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:27:29.750, 84, 88.27 W, 87 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:27:30.260, 84, 83.33 W, 88 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:27:30.766, 84, 83.32 W, 84 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:27:31.278, 83, 83.38 W, 74 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:27:31.780, 84, 82.98 W, 74 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:32.282, 83, 81.71 W, 62 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:32.795, 84, 83.15 W, 74 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:33.298, 84, 79.88 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:33.809, 84, 81.00 W, 72 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:34.310, 84, 81.32 W, 71 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:34.814, 84, 79.38 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:35.327, 84, 79.90 W, 67 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:35.831, 84, 79.74 W, 67 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:36.341, 84, 79.29 W, 71 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:36.850, 84, 80.26 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:37.351, 77, 37.92 W, 15 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:37.861, 83, 74.67 W, 71 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:38.369, 85, 84.09 W, 74 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:38.870, 84, 83.11 W, 76 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:39.382, 85, 84.02 W, 78 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:39.896, 85, 83.54 W, 76 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:40.409, 84, 83.99 W, 72 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:40.924, 84, 82.53 W, 75 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:41.437, 84, 78.89 W, 72 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:41.949, 86, 86.49 W, 79 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:42.451, 85, 85.52 W, 79 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:42.953, 85, 87.07 W, 76 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:27:43.457, 86, 86.17 W, 79 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:27:43.961, 85, 84.33 W, 74 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:27:44.471, 85, 82.52 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:44.981, 85, 81.01 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:45.481, 83, 75.91 W, 58 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:45.991, 84, 76.01 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:46.505, 84, 79.51 W, 66 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:47.020, 79, 72.21 W, 27 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:47.523, 85, 85.54 W, 79 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:27:48.038, 85, 82.52 W, 73 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:27:48.539, 85, 83.23 W, 76 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:49.041, 83, 75.28 W, 58 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:49.543, 85, 83.38 W, 71 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:50.058, 84, 82.89 W, 70 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000000
2026/05/01 20:27:50.571, 83, 79.05 W, 68 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:51.072, 85, 82.90 W, 73 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:51.582, 85, 81.71 W, 66 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:52.091, 85, 85.49 W, 72 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:52.592, 85, 83.77 W, 73 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:53.102, 84, 83.65 W, 71 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:53.612, 86, 86.16 W, 74 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:27:54.128, 85, 83.85 W, 69 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:54.628, 85, 81.32 W, 64 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:55.143, 84, 77.96 W, 63 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:55.657, 84, 75.93 W, 61 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:56.171, 83, 73.91 W, 58 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:56.672, 84, 75.85 W, 62 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:57.174, 83, 74.81 W, 57 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:57.675, 83, 70.86 W, 53 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:58.191, 83, 71.65 W, 56 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:58.702, 82, 70.81 W, 54 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:59.202, 83, 69.97 W, 54 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
