timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 14:23:37.477, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 34 %, 2142 MiB, 71.16 W, 58, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:37.979, NVIDIA GeForce RTX 4060 Laptop GPU, 71 %, 18 %, 2405 MiB, 69.41 W, 51, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:38.482, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2404 MiB, 68.71 W, 59, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:38.988, NVIDIA GeForce RTX 4060 Laptop GPU, 95 %, 35 %, 3653 MiB, 65.20 W, 54, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:39.495, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2367 MiB, 56.60 W, 57, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:39.998, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2215 MiB, 59.80 W, 55, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:40.502, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2215 MiB, 68.82 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:41.005, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2215 MiB, 66.05 W, 59, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:41.505, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2215 MiB, 70.26 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:42.010, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 34 %, 2215 MiB, 72.93 W, 59, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:42.515, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2215 MiB, 72.58 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:43.025, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 38 %, 2215 MiB, 73.05 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:43.534, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2156 MiB, 74.44 W, 61, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:44.040, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2156 MiB, 69.19 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:44.545, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2156 MiB, 68.97 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:45.047, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2124 MiB, 73.82 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:45.551, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 37 %, 2381 MiB, 71.14 W, 61, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:46.054, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2372 MiB, 69.79 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:46.556, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2355 MiB, 72.36 W, 62, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:47.059, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2404 MiB, 73.46 W, 61, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:47.564, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2367 MiB, 71.39 W, 62, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:48.069, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 34 %, 2357 MiB, 70.89 W, 60, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:48.576, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2340 MiB, 72.48 W, 61, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:49.082, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2328 MiB, 72.58 W, 61, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:49.585, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2289 MiB, 73.76 W, 61, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:50.090, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2367 MiB, 73.94 W, 63, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:50.594, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 37 %, 2357 MiB, 71.93 W, 62, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:51.097, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 37 %, 2340 MiB, 72.40 W, 62, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:51.607, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2328 MiB, 74.41 W, 62, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:52.112, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2289 MiB, 74.00 W, 63, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:52.616, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2404 MiB, 74.14 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:53.120, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2367 MiB, 71.60 W, 62, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:53.625, NVIDIA GeForce RTX 4060 Laptop GPU, 97 %, 31 %, 1783 MiB, 71.97 W, 61, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:54.133, NVIDIA GeForce RTX 4060 Laptop GPU, 13 %, 3 %, 2404 MiB, 66.13 W, 58, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:54.635, NVIDIA GeForce RTX 4060 Laptop GPU, 99 %, 33 %, 1860 MiB, 66.10 W, 63, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:55.146, NVIDIA GeForce RTX 4060 Laptop GPU, 67 %, 24 %, 2412 MiB, 66.10 W, 59, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:55.648, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2164 MiB, 75.50 W, 63, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:56.150, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 3389 MiB, 75.23 W, 59, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:56.653, NVIDIA GeForce RTX 4060 Laptop GPU, 72 %, 29 %, 2223 MiB, 65.83 W, 63, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:57.153, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2223 MiB, 70.72 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:57.654, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 37 %, 2223 MiB, 75.79 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:58.157, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 34 %, 2223 MiB, 72.72 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:58.658, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2223 MiB, 73.31 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:59.165, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 37 %, 1209 MiB, 74.58 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:23:59.671, NVIDIA GeForce RTX 4060 Laptop GPU, 77 %, 26 %, 2164 MiB, 72.84 W, 59, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:00.176, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2164 MiB, 69.81 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:00.682, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2164 MiB, 69.62 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:01.183, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2389 MiB, 74.77 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:01.685, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2380 MiB, 71.88 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:02.195, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 36 %, 2363 MiB, 70.89 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:02.699, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2351 MiB, 73.70 W, 64, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:03.201, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2375 MiB, 75.01 W, 61, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:03.704, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2365 MiB, 72.44 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:04.206, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2348 MiB, 71.33 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:04.713, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2336 MiB, 73.23 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 14:24:05.218, NVIDIA GeForce RTX 4060 Laptop GPU, 100 %, 35 %, 2297 MiB, 74.16 W, 65, 2490 MHz, 8001 MHz, 0x0000000000000000
